Image,Solar Panels
solarpanels_native_1__x0_2101_y0_7156_dxdy_416.txt,5
solarpanels_native_1__x0_9465_y0_10759_dxdy_416.txt,12
solarpanels_native_1__x0_1102_y0_6355_dxdy_416.txt,10
solarpanels_native_2__x0_569_y0_10724_dxdy_416.txt,53
solarpanels_native_2__x0_0_y0_14471_dxdy_416.txt,6
solarpanels_native_3__x0_8313_y0_12630_dxdy_416.txt,8
solarpanels_native_2__x0_1728_y0_9648_dxdy_416.txt,4
solarpanels_native_2__x0_4654_y0_12143_dxdy_416.txt,3
solarpanels_native_3__x0_2337_y0_13434_dxdy_416.txt,6
solarpanels_native_1__x0_8154_y0_11338_dxdy_416.txt,6
solarpanels_native_3__x0_11804_y0_8978_dxdy_416.txt,42
solarpanels_native_2__x0_623_y0_10650_dxdy_416.txt,58
solarpanels_native_1__x0_3762_y0_11875_dxdy_416.txt,5
solarpanels_native_1__x0_6489_y0_12706_dxdy_416.txt,5
solarpanels_native_2__x0_596_y0_11152_dxdy_416.txt,25
solarpanels_native_2__x0_12143_y0_12627_dxdy_416.txt,2
solarpanels_native_3__x0_9123_y0_4518_dxdy_416.txt,4
solarpanels_native_1__x0_8598_y0_8885_dxdy_416.txt,2
solarpanels_native_1__x0_4174_y0_13123_dxdy_416.txt,14
solarpanels_native_3__x0_4028_y0_12682_dxdy_416.txt,5
solarpanels_native_1__x0_4944_y0_12770_dxdy_416.txt,2
solarpanels_native_3__x0_12101_y0_11659_dxdy_416.txt,11
solarpanels_native_2__x0_2788_y0_4762_dxdy_416.txt,10
solarpanels_native_3__x0_7888_y0_11922_dxdy_416.txt,4
solarpanels_native_3__x0_4633_y0_12399_dxdy_416.txt,7
solarpanels_native_3__x0_3530_y0_7695_dxdy_416.txt,6
solarpanels_native_2__x0_5369_y0_6108_dxdy_416.txt,4
solarpanels_native_3__x0_6165_y0_13495_dxdy_416.txt,5
solarpanels_native_1__x0_1611_y0_9874_dxdy_416.txt,8
solarpanels_native_2__x0_5890_y0_2846_dxdy_416.txt,5
solarpanels_native_1__x0_8573_y0_11090_dxdy_416.txt,9
solarpanels_native_1__x0_7_y0_6959_dxdy_416.txt,13
solarpanels_native_2__x0_904_y0_8492_dxdy_416.txt,6
solarpanels_native_1__x0_4643_y0_11705_dxdy_416.txt,13
solarpanels_native_1__x0_996_y0_7722_dxdy_416.txt,15
solarpanels_native_2__x0_219_y0_8842_dxdy_416.txt,2
solarpanels_native_2__x0_2432_y0_4463_dxdy_416.txt,13
solarpanels_native_3__x0_11097_y0_9536_dxdy_416.txt,19
solarpanels_native_2__x0_0_y0_13760_dxdy_416.txt,2
